dates,label,Year,Month,Yearmonth
"May 1, 2018",1,2018,May,2018-05-01
"May 15, 2018",1,2018,May,2018-05-01
"May 12, 2018",1,2018,May,2018-05-01
"Apr 30, 2018",1,2018,Apr,2018-04-01
"Apr 16, 2018",1,2018,Apr,2018-04-01
"Apr 23, 2018",1,2018,Apr,2018-04-01
"Apr 28, 2018",1,2018,Apr,2018-04-01
"May 12, 2018",1,2018,May,2018-05-01
"May 12, 2018",1,2018,May,2018-05-01
"May 8, 2018",1,2018,May,2018-05-01
"Apr 26, 2018",1,2018,Apr,2018-04-01
"Apr 26, 2018",1,2018,Apr,2018-04-01
"Apr 25, 2018",1,2018,Apr,2018-04-01
"Apr 25, 2018",1,2018,Apr,2018-04-01
"Apr 25, 2018",1,2018,Apr,2018-04-01
"May 1, 2018",1,2018,May,2018-05-01
"May 8, 2018",1,2018,May,2018-05-01
"Apr 23, 2018",1,2018,Apr,2018-04-01
"May 7, 2018",1,2018,May,2018-05-01
"Apr 19, 2018",1,2018,Apr,2018-04-01
"May 6, 2018",1,2018,May,2018-05-01
"May 4, 2018",1,2018,May,2018-05-01
"Apr 19, 2018",1,2018,Apr,2018-04-01
"May 3, 2018",1,2018,May,2018-05-01
"May 1, 2018",0,2018,May,2018-05-01
"May 1, 2018",1,2018,May,2018-05-01
"Apr 16, 2018",1,2018,Apr,2018-04-01
"Apr 16, 2018",1,2018,Apr,2018-04-01
"Apr 30, 2018",1,2018,Apr,2018-04-01
"Apr 15, 2018",1,2018,Apr,2018-04-01
"Apr 11, 2018",1,2018,Apr,2018-04-01
"Apr 29, 2018",0,2018,Apr,2018-04-01
"Apr 24, 2018",1,2018,Apr,2018-04-01
"Apr 27, 2018",1,2018,Apr,2018-04-01
"May 17, 2018",0,2018,May,2018-05-01
"Apr 12, 2018",1,2018,Apr,2018-04-01
"Apr 26, 2018",1,2018,Apr,2018-04-01
"Apr 25, 2018",1,2018,Apr,2018-04-01
"Apr 18, 2018",0,2018,Apr,2018-04-01
"Apr 10, 2018",1,2018,Apr,2018-04-01
